sample	condition	fq1	fq2
WT-1	wt	data/WT-1_R1.sub.fq	data/WT-1_R2.sub.fq
WT-2	wt	data/WT-2_R1.sub.fq	data/WT-2_R2.sub.fq
WT-3	wt	data/WT-3_R1.sub.fq	data/WT-3_R2.sub.fq
Overex-1	35SAN2	data/Overex-1_R1.sub.fq	data/Overex-1_R2.sub.fq
Overex-2	35SAN2	data/Overex-2_R1.sub.fq	data/Overex-2_R2.sub.fq
Overex-3	35SAN2	data/Overex-3_R1.sub.fq	data/Overex-3_R2.sub.fq
